city,state,latitude,longitude,source_name,population
Abbeville,AL,31.57184,-85.25049,Abbeville,2620
Alabaster,AL,33.24428,-86.81638,Alabaster,32707
Altoona,AL,34.02621,-86.32609,Altoona,924
Andalusia,AL,31.30808,-86.48243,Andalusia,9063
Ashford,AL,31.18296,-85.23632,Ashford,2158
Atmore,AL,31.02379,-87.49387,Atmore,10049
Bessemer,AL,33.40178,-86.95444,Bessemer,26730
Birmingham,AL,33.52066,-86.80249,Birmingham,196357
Boaz,AL,34.20065,-86.16637,Boaz,9688
Brent,AL,32.93735,-87.16472,Brent,4898
Brewton,AL,31.10518,-87.07219,Brewton,5434
Brundidge,AL,31.72016,-85.81606,Brundidge,1989
Calera,AL,33.1029,-86.7536,Calera,13213
Centre,AL,34.15204,-85.67885,Centre,3570
Childersburg,AL,33.27817,-86.35498,Childersburg,5046
Clanton,AL,32.83874,-86.62943,Clanton,8844
Cottondale,AL,31.20518,-85.38188,Cottondale,0
Courtland,AL,34.66898,-87.30946,Courtland,597
Creola,AL,30.89185,-88.03972,Creola,1955
Cullman,AL,34.17482,-86.84361,Cullman,15350
Cusseta,AL,32.78485,-85.30578,Cusseta,124
Daleville,AL,31.31017,-85.71299,Daleville,5141
Decatur,AL,34.60593,-86.98334,Decatur,55437
Demopolis,AL,32.51764,-87.8364,Demopolis,7148
Dothan,AL,31.22323,-85.39049,Dothan,68567
Eastaboga,AL,33.60594,-86.02136,Eastaboga,0
Enterprise,AL,31.31517,-85.85522,Enterprise,27978
Eutaw,AL,32.84059,-87.88762,Eutaw,2766
Evergreen,AL,31.4335,-86.95692,Evergreen,3774
Fackler,AL,34.79258,-85.90998,Fackler,0
Falkville,AL,34.36843,-86.90862,Falkville,1268
Foley,AL,30.40659,-87.6836,Foley,17218
Fort Payne,AL,34.44425,-85.71969,Fort Payne,14150
Gadsden,AL,34.01434,-86.00639,Gadsden,36084
Gordon,AL,31.14129,-85.0966,Gordon,327
Grand Bay,AL,30.47631,-88.34223,Grand Bay,3672
Grove Hill,AL,31.70877,-87.77722,Grove Hill,1494
Hamilton,AL,34.14232,-87.98864,Hamilton,6772
Hanceville,AL,34.06065,-86.7675,Hanceville,3281
Hartford,AL,31.1024,-85.69688,Hartford,2647
Headland,AL,31.35128,-85.34216,Headland,4736
Heflin,AL,33.64899,-85.58746,Heflin,3499
Hope Hull,AL,32.26986,-86.35719,Hope Hull,0
Huntsville,AL,34.7304,-86.58594,Huntsville,215006
Irvington,AL,34.63981,-86.92917,Irvington,0
Jackson,AL,33.81382,-85.7613,Jacksonville,12222
Jasper,AL,33.83122,-87.27751,Jasper,14071
Jemison,AL,32.95985,-86.74665,Jemison,2619
